PF,num_test,modelDL,modelET,blast,hmm,protenn
PF17708,2,0.0,0.0,1.0,0.0,1.0
PF00117,8,0.375,0.0,1.0,0.75,0.125
PF07685,8,0.0,0.0,0.25,0.0,0.125
PF13522,4,0.75,0.0,1.0,0.5,0.5
PF07670,12,0.25,0.0,1.0,0.16666666666666663,0.0
PF07842,4,0.25,0.0,1.0,0.0,0.5
PF13324,7,0.0,0.0,0.0,0.0,0.0
PF15328,6,0.0,0.0,0.0,0.0,0.6666666666666667
PF14609,1,1.0,1.0,1.0,1.0,1.0
PF04130,43,0.0,0.0,0.0,0.06976744186046513,0.0
PF17681,23,0.0,0.0,0.0,0.08695652173913049,0.04347826086956519
PF04107,3,0.0,0.0,0.0,0.0,1.0
PF01571,2,0.0,0.0,0.0,0.0,0.0
PF01150,1,0.0,0.0,0.0,0.0,0.0
PF03009,4,0.0,0.0,0.0,0.0,0.0
PF14345,2,0.0,0.0,0.0,0.0,0.0
PF00844,1,0.0,0.0,1.0,0.0,0.0
PF17053,2,0.0,0.0,1.0,1.0,0.0
PF10646,6,0.0,0.0,0.0,0.16666666666666663,0.0
PF08690,2,0.0,0.0,0.0,1.0,0.0
PF17853,55,0.0,0.0,0.1454545454545455,0.4545454545454546,0.0
PF14410,1,0.0,1.0,1.0,1.0,0.0
PF14741,2,1.0,1.0,1.0,0.0,1.0
PF18271,1,0.0,0.0,0.0,0.0,0.0
PF03321,19,0.0,0.0,0.0,0.052631578947368474,0.0
PF02638,1,1.0,0.0,0.0,0.0,1.0
PF14885,4,0.0,0.0,0.0,0.0,0.0
PF14871,2,0.0,0.0,0.5,0.0,0.0
PF08544,7,0.0,0.0,0.8571428571428572,0.7142857142857143,0.0
PF01134,1,1.0,1.0,1.0,1.0,1.0
PF13856,1,1.0,0.0,1.0,1.0,1.0
PF01541,1,0.0,0.0,0.0,0.0,0.0
PF07221,1,0.0,0.0,0.0,0.0,0.0
PF07817,1,0.0,0.0,0.0,0.0,0.0
PF15644,3,0.0,0.0,1.0,0.0,0.0
PF00042,4,0.5,0.0,1.0,0.0,0.0
